"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.2,1,NA,1,1.13290596008301,1,0.772765159606934
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.4,1,NA,1,1.20984935760498,1,0.678419351577759
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.6,1,NA,1,1.34154367446899,0.999,0.696254014968872
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.4,0.8,1,NA,0.999,1.136061668396,0.995,0.713488101959229
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0,1,NA,1,1.08378791809082,1,0.787713766098022
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.2,1,NA,1,1.12145471572876,1,0.696587562561035
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.4,1,NA,1,1.38258934020996,1,1.0427565574646
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.6,1,NA,1,1.08263349533081,1,0.716805458068848
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.6,0.8,1,NA,1,1.31600427627563,1,0.920394420623779
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0,1,NA,1,1.12525320053101,1,0.727167367935181
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.2,1,NA,1,1.11730122566223,1,0.699124097824097
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.4,1,NA,1,1.12782073020935,1,0.740029096603394
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.6,1,NA,1,1.12957739830017,1,0.752168655395508
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",0.8,0.8,1,NA,1,1.21462559700012,1,0.736347436904907
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0,1,NA,1,1.15944671630859,1,0.751045227050781
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.2,1,NA,1,1.09675240516663,1,0.729698419570923
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.4,1,NA,1,1.3502688407898,1,0.726367235183716
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.6,1,NA,1,1.0798032283783,1,0.717106819152832
"Datos sin transformar","mvnorm",0.01,1000,300,3,"equal",1,0.8,1,NA,1,1.18197178840637,1,0.719671487808228
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0,1,NA,0.009,1.1366331577301,0.003,0.699690580368042
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.2,1,NA,0.008,1.07277822494507,0.003,0.715474367141724
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.4,1,NA,0.01,1.10098338127136,0.003,0.679277420043945
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.6,1,NA,0.011,1.13370513916016,0.003,0.718463897705078
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0,0.8,1,NA,0.011,1.09908318519592,0.003,0.759289026260376
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0,1,NA,1,1.09190940856934,1,0.725908279418945
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.2,1,NA,1,1.11067795753479,1,0.69907546043396
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.4,1,NA,1,1.11898469924927,1,0.717304706573486
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.6,1,NA,1,1.13450288772583,0.999,0.683025121688843
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.2,0.8,1,NA,0.998,1.15790247917175,1,0.703176498413086
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0,1,NA,1,1.07550096511841,1,0.701501369476318
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.2,1,NA,1,1.11924314498901,1,0.720776319503784
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.4,1,NA,1,1.10214257240295,1,0.700545310974121
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.6,1,NA,1,1.13297986984253,1,0.724688529968262
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.4,0.8,1,NA,1,1.25473213195801,1,0.72393798828125
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0,1,NA,1,1.10316514968872,1,0.776710748672485
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.2,1,NA,1,1.13001894950867,1,0.65086030960083
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.4,1,NA,1,1.33813452720642,1,0.781343936920166
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.6,1,NA,1,1.12125897407532,1,0.674720525741577
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.6,0.8,1,NA,1,1.30285596847534,1,0.720140933990479
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0,1,NA,1,1.12207937240601,1,0.675636768341064
