"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",0.67,1.15287351608276
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",0.672,1.08556842803955
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",0.663,1.11291766166687
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",0.668,1.28087949752808
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0065,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",0.729,1.30705070495605
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",0.728,1.09737610816956
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",0.723,1.12171339988708
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",0.729,1.05908012390137
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.007,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",0.782,1.17192578315735
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",0.783,1.08329749107361
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",0.786,1.10052514076233
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",0.784,1.02311491966248
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0075,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.836,1.41184496879578
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.836,1.05269527435303
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.836,1.11380648612976
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.837,1.03733897209167
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0085,1000,"MANTA",0.878,1.13703227043152
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0085,1000,"MANTA",0.877,1.11818695068359
