"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.06,1000,"MANTA",0.154,1.12739157676697,"MANOVA",0.155,0.69579291343689,0.1,0.647249190938512
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.15,1.13161039352417,"MANOVA",0.114,0.680531024932861,3.6,27.2727272727273
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.156,1.11156296730042,"MANOVA",0.115,0.722244739532471,4.1,30.2583025830258
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.047,1.20058941841125,"MANOVA",0.046,0.813001871109009,0.1,2.1505376344086
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.152,1.09839630126953,"MANOVA",0.115,1.08846282958984,3.7,27.7153558052434
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.151,1.10886883735657,"MANOVA",0.114,0.692660570144653,3.7,27.9245283018868
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.06,1000,"MANTA",0.144,1.12165141105652,"MANOVA",0.114,0.753266334533691,3,23.2558139534884
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.143,1.11551523208618,"MANOVA",0.1,0.723921298980713,4.3,35.3909465020576
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.147,1.14131760597229,"MANOVA",0.101,0.704132318496704,4.6,37.0967741935484
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.057,1.16439056396484,"MANOVA",0.047,0.800247430801392,1,19.2307692307692
