"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.051,1.16360783576965
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.552,1.09987306594849
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.558,1.4963264465332
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.549,1.08260369300842
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.443,1.11538338661194
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.445,1.11288166046143
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.063,1.18356227874756
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.443,1.14459109306335
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.446,1.10707330703735
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.447,1.12442111968994
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.392,1.12077832221985
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.387,1.17319822311401
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.061,1.14318513870239
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.392,1.0987184047699
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.387,1.22127866744995
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.12,1000,"MANTA",0.389,1.15125346183777
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.338,1.16881084442139
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.342,1.4953830242157
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.057,1.15114426612854
