"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.996,1.09155440330505
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.996,3.78442144393921
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.991,1.2254467010498
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.1997127532959
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.12657451629639
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,8.23913931846619
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.21352577209473
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.24731874465942
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.11360549926758
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,14.351939201355
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.4537365436554
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,1.17940783500671
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,1.10585141181946
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,24.8909230232239
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,3.49594759941101
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,1.19850373268127
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,1.1251072883606
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,39.2183468341827
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,21.7356624603271
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,1.24853825569153
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,1.08031535148621
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,51.3818867206573
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,78.1683509349823
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",0.048,1.25869631767273
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",0.05,1.07127094268799
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",0.05,1.32218885421753
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",0.052,1.14067530632019
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",0.1,1.21628952026367
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",0.095,1.11517977714539
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",0.094,1.15262150764465
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",0.083,1.11033964157104
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.002,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",0.266,1.23205637931824
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",0.246,1.09576082229614
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",0.245,1.1183032989502
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",0.229,1.12877225875854
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.004,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",0.548,1.24516725540161
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",0.524,1.07851457595825
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",0.521,1.15847826004028
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",0.488,1.12595987319946
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.006,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",0.787,1.25069212913513
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",0.766,1.09913206100464
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",0.766,1.15816211700439
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",0.752,1.11940956115723
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.008,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",0.941,1.19668436050415
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",0.922,1.18090867996216
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",0.922,1.1401629447937
