"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.4,1,NA,1,1.10257792472839,1,0.7000572681427,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.6,1,NA,1,1.09651279449463,1,0.727201461791992,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.8,1,NA,1,1.23121356964111,1,0.665692806243896,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0,1,NA,1,1.05823421478271,1,0.859770774841309,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.2,1,NA,1,1.07371830940247,1,0.675151586532593,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.4,1,NA,1,1.07833695411682,1,0.679576873779297,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.6,1,NA,1,1.06963777542114,1,0.664088726043701,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.8,1,NA,1,1.17050409317017,1,0.698156595230103,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0,1,NA,1,1.04102301597595,1,0.680467367172241,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.2,1,NA,1,1.0595211982727,1,0.682595491409302,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.4,1,NA,1,1.10293340682983,1,0.696871280670166,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.6,1,NA,1,1.1031858921051,1,0.683419227600098,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",1,0.8,1,NA,1,1.16857028007507,1,0.683288335800171,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0,1,NA,0.001,1.09432816505432,0,0.662853240966797,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.2,1,NA,0.001,1.32711005210876,0,0.66820502281189,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.4,1,NA,0.001,1.07754492759705,0,0.697469234466553,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.6,1,NA,0.001,1.2732150554657,0,0.662766695022583,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0,0.8,1,NA,0.001,1.10703659057617,0,0.703977823257446,0.1,200
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0,1,NA,1,1.05845165252686,1,0.679918766021729,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.2,1,NA,0.999,1.07881093025208,1,0.681044101715088,0.1,0.100050025012506
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.4,1,NA,0.999,1.13998818397522,0.999,0.709880590438843,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.6,1,NA,0.985,1.08852624893188,0.995,0.709015369415283,1,1.01010101010101
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.2,0.8,1,NA,0.955,1.13971781730652,0.998,0.773113012313843,4.3,4.40348182283667
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0,1,NA,1,1.13086175918579,1,1.01984214782715,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.2,1,NA,1,1.06544613838196,1,0.681373357772827,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.4,1,NA,1,1.05321455001831,1,0.756558895111084,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.6,1,NA,1,1.08122038841248,1,0.686466693878174,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.4,0.8,1,NA,1,1.2209575176239,1,0.682823896408081,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0,1,NA,1,1.04009103775024,1,0.702108144760132,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.2,1,NA,1,1.15506863594055,1,0.687839031219482,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.4,1,NA,1,1.04957580566406,1,0.697368144989014,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.6,1,NA,1,1.0710563659668,1,0.682629346847534,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.6,0.8,1,NA,1,1.44670820236206,1,0.690829992294312,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0,1,NA,1,1.06259632110596,1,0.686990022659302,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.2,1,NA,1,1.05998587608337,1,0.681591033935547,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.4,1,NA,1,1.26693081855774,1,0.69396162033081,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.6,1,NA,1,1.28231143951416,1,0.685370445251465,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",0.8,0.8,1,NA,1,1.31663656234741,1,0.722236156463623,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0,1,NA,1,1.12254858016968,1,0.683814764022827,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.2,1,NA,1,1.06206655502319,1,0.699423551559448,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,1,1.10149717330933,1,0.718222618103027,0,0
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.6,1,NA,1,1.10723447799683,1,0.772444009780884,0,0
